Hour,Abs,Cells,Hydro,Temp adjust,ABV
0,1.418,42540000,1.003,1.004,0
1,1.432,42960000,,,
2,1.478,44340000,1.003,1.004,0
3,1.576,47280000,,,
4,1.635,49050000,1.000,1.001,0.39375
5,1.682,50460000,,,
6,1.713,51390000,0.999,1.000,0.525
7,1.725,51750000,,,
8,1.749,52470000,0.998,0.999,0.65625
18,1.741,52230000,0.998,0.999,0.65625
19,1.751,52530000,,,
21,1.645,49350000,0.997,0.998,0.7875
23,1.752,52560000,,,
25,1.786,53580000,0.996,0.997,0.91875
