Hour,Abs,Cells,Hydro,Temp adjust,ABV
0,1.397,41910000,0.996,0.997,0.91875
1,1.428,42840000,,,
2,1.453,43590000,0.994,0.995,1.18125
3,1.528,45840000,,,
4,1.600,48000000,0.993,0.994,1.3125
5,,,,,
6,1.680,50400000,0.992,0.993,1.44375
7,1.696,50880000,,,
8,1.705,51150000,0.991,0.992,1.575
18,1.698,50940000,0.991,0.992,1.575
19,1.711,51330000,,,
21,1.705,51150000,0.990,0.991,1.70625
23,1.739,52170000,,,
25,1.741,52230000,0.990,0.991,1.70625
